# Time (s)	Generation (V)	PC (V)	PL (V)
1.500263204070890169e-05	1.155870019864224771e-04	2.812591456945753941e-03	-2.532699019394101794e-04
4.834181435339528833e-05	1.104326697039946552e-04	-4.803826554036446685e-04	-2.552027765466691992e-04
8.168099666608183592e-05	1.123655443103451678e-04	-8.614811101576719254e-04	-2.558470680801023926e-04
1.150201789787680921e-04	1.175198765945338424e-04	-9.242995355895647315e-04	-2.639007122675967546e-04
1.483593612914544161e-04	1.255735207833929981e-04	-9.468497393450135300e-04	-2.471491323536430208e-04
1.816985436041414854e-04	1.352378938143641764e-04	-9.362189290184415487e-04	-2.539141934762909189e-04
2.150377259168277959e-04	1.126876900788872086e-04	-8.959507080899820064e-04	-2.535920477072314697e-04
2.483769082295139165e-04	1.142984189160437496e-04	-8.985278742249500116e-04	-2.510148815657569504e-04
2.817160905422001998e-04	1.268621038547479549e-04	-9.281652848319215049e-04	-2.539141934728414212e-04
3.150552728548863747e-04	1.210634800356323815e-04	-9.578026954213705564e-04	-2.571356511519775224e-04
3.483944551675727122e-04	1.184863138941564257e-04	-9.697220888198168545e-04	-2.558470680801665773e-04
3.817336374802589413e-04	1.323385819051956522e-04	-9.761650041663309926e-04	-2.629342749656241496e-04
4.150728197929463088e-04	1.217077715738215497e-04	-9.632791734598259749e-04	-2.706657733874457306e-04
4.484120021056323211e-04	1.271842496228982192e-04	-9.607020073118660835e-04	-2.410283627720432372e-04
4.817511844183182249e-04	1.165534392908057108e-04	-9.578026954039490538e-04	-2.523034646374371949e-04
5.150903667310046709e-04	1.265399580879706428e-04	-9.616684446230469802e-04	-2.477934238901345859e-04
5.484295490436907373e-04	1.133319816113368544e-04	-9.594134242465612731e-04	-2.374847593274907959e-04
5.817687313563794059e-04	1.242849377130786316e-04	-9.555476750416475300e-04	-2.651892953416844700e-04
6.151079136690657976e-04	1.078555035634341048e-04	-9.526483631365480166e-04	-2.600349630582174539e-04
