# Time (s)	Generation (V)	PC (V)	PL (V)
1.500263204070890169e-05	9.690254746442932834e-05	2.351278736862766165e-03	-2.519813188690940781e-04
4.834181435339528833e-05	1.065669204955947821e-04	-5.763820903418438810e-04	-2.468269865878390513e-04
8.168099666608183592e-05	1.126876900787561421e-04	-9.149573073549989704e-04	-2.487598611924309879e-04
1.150201789787680921e-04	1.139762731488746340e-04	-9.278431390092154070e-04	-2.603571088258435878e-04
1.483593612914544161e-04	1.126876900762791196e-04	-9.252659729074092431e-04	-2.568135053818787028e-04
1.816985436041414854e-04	1.184863138950707469e-04	-9.323531797981128360e-04	-2.664778784105659008e-04
2.150377259168277959e-04	1.091440866337473195e-04	-9.462054477971119839e-04	-2.484377154248691472e-04
2.483769082295139165e-04	1.049561916534828951e-04	-9.416954070436023717e-04	-2.439276746793884315e-04
2.817160905422001998e-04	9.625825592611059797e-05	-9.436282816574751873e-04	-2.574577969167439646e-04
3.150552728548863747e-04	1.081776493278653796e-04	-9.207559321518873517e-04	-2.542363392413790439e-04
3.483944551675727122e-04	1.146205646832148980e-04	-9.436282816380650411e-04	-2.477934238911753116e-04
3.817336374802589413e-04	1.149427104530597162e-04	-9.532926546743366670e-04	-2.651892953400570825e-04
4.150728197929463088e-04	9.819113053311267537e-05	-9.275209932827320350e-04	-2.629342749673825629e-04
4.484120021056323211e-04	9.947971360420928026e-05	-9.416954070526190306e-04	-2.716322106922147640e-04
4.817511844183182249e-04	9.561396439046509002e-05	-9.623127361662017808e-04	-2.510148815680996945e-04
5.150903667310046709e-04	1.062447747275126734e-04	-9.407289697546603047e-04	-2.587463799888792488e-04
5.484295490436907373e-04	1.184863138965033846e-04	-9.423396985881756340e-04	-2.593906715245885620e-04
5.817687313563794059e-04	1.123655443098891388e-04	-9.407289697509577543e-04	-2.742093768324522086e-04
6.151079136690657976e-04	1.210634800415636721e-04	-9.313867425014400823e-04	-2.516591731011415993e-04
6.484470959817520809e-04	8.756032020238715616e-05	-9.407289697608125015e-04	-2.548806307776111594e-04
6.817862782944378221e-04	9.819113053317904210e-05	-9.146351625961189830e-04	-2.474712781232214233e-04
7.151254606071238886e-04	1.068890662609403510e-04	-8.830648773776142739e-04	-2.471491323544891322e-04
7.484646429198103888e-04	1.036676085859728310e-04	-8.901520842635892274e-04	-2.555249223127339193e-04
