# Time (s)	Generation (V)	PC (V)	PL (V)
1.500263204070890169e-05	1.030233170493486679e-04	2.759928367435986879e-02	-2.600349630580212675e-04
4.834181435339528833e-05	1.117212527751563529e-04	3.542574722546962089e-03	-2.365183220243496920e-04
8.168099666608183592e-05	1.304057072988460070e-04	-1.959279370164156403e-04	-2.461826950534294254e-04
1.150201789787680921e-04	1.123655443119091565e-04	-7.525958410151108516e-04	-2.503705900318687716e-04
1.483593612914544161e-04	1.107548154727963489e-04	-8.508503006173659617e-04	-2.407062170020735461e-04
1.816985436041414854e-04	1.007682966753696227e-04	-8.672797347815479861e-04	-2.510148815664092607e-04
2.150377259168277959e-04	1.107548154703186894e-04	-8.286222426893362879e-04	-2.642228580368498423e-04
2.483769082295139165e-04	1.142984189151320440e-04	-8.589039448246665832e-04	-2.574577969170013000e-04
2.817160905422001998e-04	1.056004831895198407e-04	-8.460181141232246812e-04	-2.603571088266236713e-04
3.150552728548863747e-04	1.162312935218097959e-04	-8.105820797035801200e-04	-2.600349630578900791e-04
3.483944551675727122e-04	1.101105239368249027e-04	-8.566489244486889332e-04	-2.529477561710654363e-04
3.817336374802589413e-04	1.104326697047768664e-04	-9.136687252870234408e-04	-2.516591731015983737e-04
4.150728197929463088e-04	1.036676085825169094e-04	-9.249438271419571514e-04	-2.754979599025696299e-04
4.484120021056323211e-04	1.258956665499781082e-04	-8.882192096631754807e-04	-2.700214818539474308e-04
4.817511844183182249e-04	1.255735207872404251e-04	-9.081922472333255492e-04	-2.487598611940584838e-04
5.150903667310046709e-04	1.004461509068308074e-04	-9.378296578323052799e-04	-2.561692138486407742e-04
5.484295490436907373e-04	1.204191885016154943e-04	-8.988500199703400263e-04	-2.629342749651047083e-04
5.817687313563794059e-04	1.184863138947432230e-04	-8.721119212720815838e-04	-2.613235461283353630e-04
6.151079136690657976e-04	1.403922260976403459e-04	-8.936956877005126530e-04	-2.497262984953776402e-04
6.484470959817520809e-04	1.213856258053447101e-04	-8.869306265886611317e-04	-2.468269865880335571e-04
6.817862782944378221e-04	1.275063953892230937e-04	-8.917628130993526499e-04	-2.635785665022478247e-04
7.151254606071238886e-04	1.149427104524719837e-04	-9.185009117992898710e-04	-2.413505085383042792e-04
7.484646429198103888e-04	1.155870019838818119e-04	-8.659911517086519173e-04	-2.552027765436108817e-04
7.818038252324961300e-04	1.097883781703706829e-04	-8.721119212959011803e-04	-2.552027765454331545e-04
8.151430075451824133e-04	1.120433985410885429e-04	-8.975614369235237902e-04	-2.648671495718455879e-04
8.484821898578681545e-04	1.159091477548336276e-04	-9.123801422202211303e-04	-2.455384035186957315e-04
8.818213721705542209e-04	1.020568797441845376e-04	-8.988500199837129011e-04	-2.571356511510683646e-04
9.151605544832444074e-04	9.593611016011251559e-05	-8.924071046425331461e-04	-2.639007122705247510e-04
9.484997367959307991e-04	1.097883781673067276e-04	-9.178566202716312468e-04	-2.577799426860616708e-04
9.818389191086165403e-04	1.149427104524725258e-04	-9.410511155170995070e-04	-2.587463799888119740e-04
1.015178101421302607e-03	1.046340458854641038e-04	-9.896951263977814186e-04	-2.574577969184341816e-04
1.048517283733989107e-03	1.220299173398177212e-04	-9.561919665765726941e-04	-2.571356511483337357e-04
1.081856466046675824e-03	1.142984189170874839e-04	-9.542590919686976848e-04	-2.481155696601694376e-04
1.115195648359362541e-03	1.052783374229368990e-04	-9.513597800748110987e-04	-2.526256104046099697e-04
1.148534830672048607e-03	1.059226289570831993e-04	-9.497490512300641938e-04	-2.545584850100481803e-04
1.181874012984734674e-03	1.262178123187118902e-04	-9.381518036049011798e-04	-2.436055289109796121e-04
1.215213195297422692e-03	1.162312935208305716e-04	-9.091586845450524501e-04	-2.545584850099828571e-04
1.248552377610108758e-03	1.178420223594887190e-04	-8.843534604545712219e-04	-2.626121291985834307e-04
1.281891559922794608e-03	1.020568797443799244e-04	-9.107694133879666197e-04	-2.661557326430692748e-04
1.315230742235480241e-03	9.593611015769993536e-05	-9.146351625945563224e-04	-2.819408752552457769e-04
1.348569924548166741e-03	1.027011712827633681e-04	-9.081922472487011623e-04	-2.928938313508663654e-04
1.381909106860852374e-03	1.110769612397064079e-04	-9.033600607367068668e-04	-3.003031840066856762e-04
1.415248289173538223e-03	1.056004831880853734e-04	-9.101251218579713229e-04	-3.138333062406553002e-04
1.448587471486224290e-03	8.723817443384980453e-05	-8.898299385001998303e-04	-3.573229848639025946e-04
1.481926653798910139e-03	8.111740484658286907e-05	-9.214002237137699017e-04	-3.892154158515897557e-04
1.515265836111600543e-03	8.015096754357073101e-05	-9.210780779407488862e-04	-4.703961492699277312e-04
1.548605018424287260e-03	5.051355692009508528e-05	-9.307424509635226287e-04	-5.509325911516469105e-04
