# Time (s)	Generation (V)	PC (V)	PL (V)
1.500263204070890169e-05	1.223520631106396494e-04	2.739142207454807638e-03	-2.532699019380409405e-04
4.834181435339528833e-05	1.226742088735083855e-04	-4.781276343456245426e-04	-2.590685257569613981e-04
8.168099666608183592e-05	8.594959136464228641e-05	-8.869306257514867264e-04	-2.542363392424863938e-04
1.150201789787680921e-04	1.220299173400133112e-04	-9.513597800312756109e-04	-2.590685257537719464e-04
1.483593612914544161e-04	9.496967285612260335e-05	-9.838965025747792650e-04	-2.603571088266239965e-04
1.816985436041414854e-04	1.104326697055589557e-04	-9.423396985749439222e-04	-2.442498204479914858e-04
2.150377259168277959e-04	1.110769612402910775e-04	-9.346082001705862362e-04	-2.577799426855411995e-04
2.483769082295139165e-04	1.239627919439518534e-04	-9.561919665937441797e-04	-2.487598611907383315e-04
2.817160905422001998e-04	1.197748969663611665e-04	-9.626348819321454498e-04	-2.481155696586734554e-04
3.150552728548863747e-04	1.149427104472580961e-04	-9.603798615523756943e-04	-2.497262984962883700e-04
3.483944551675727122e-04	1.200970427336643979e-04	-9.555476750394950635e-04	-2.445719662134710078e-04
3.817336374802589413e-04	1.146205646841292599e-04	-9.774535872163817290e-04	-2.384511966322614286e-04
4.150728197929463088e-04	1.255735207847630502e-04	-9.616684446202372703e-04	-2.368404677928889410e-04
4.484120021056323211e-04	1.229963546432217712e-04	-9.091586845167805775e-04	-2.587463799889432167e-04
4.817511844183182249e-04	1.068890662602923369e-04	-9.561919665637388845e-04	-2.564913596148362491e-04
5.150903667310046709e-04	1.068890662596392677e-04	-9.468497393129381677e-04	-2.539141934744043529e-04
5.484295490436907373e-04	1.130098358443606049e-04	-9.397625324351804909e-04	-2.684107530167865801e-04
5.817687313563794059e-04	1.178420223607926076e-04	-9.397625324302566951e-04	-2.442498204459082455e-04
6.151079136690657976e-04	1.249292292476173859e-04	-9.281652848023454454e-04	-2.622899834310208310e-04
6.484470959817520809e-04	1.339493107428757544e-04	-9.207559321608022040e-04	-2.545584850105039247e-04
6.817862782944378221e-04	9.690254746292951082e-05	-9.143130168202589841e-04	-2.687328987844130393e-04
7.151254606071238886e-04	1.236406461797801232e-04	-9.310645967310851199e-04	-2.552027765451072433e-04
7.484646429198103888e-04	1.107548154714914303e-04	-9.127022879836119368e-04	-2.613235461301574732e-04
