# Time (s)	Generation (V)	PC (V)	PL (V)
1.500263204070890169e-05	1.213856258059999206e-04	2.264943651651539751e-03	-2.564913596142506715e-04
4.834181435339528833e-05	1.126876900794045492e-04	-5.702613234689070084e-04	-2.526256104057155848e-04
8.168099666608183592e-05	1.023790255139635989e-04	-9.098029751914344689e-04	-2.597128172911746208e-04
1.150201789787680921e-04	1.017347339768827022e-04	-9.133465794864839647e-04	-2.468269865856904336e-04
1.483593612914544161e-04	1.165534392892394994e-04	-9.442725732023203675e-04	-2.635785665021161484e-04
1.816985436041414854e-04	1.094662324015029071e-04	-9.252659729208831656e-04	-2.571356511498951495e-04
2.150377259168277959e-04	1.268621038542266705e-04	-9.381518036267423241e-04	-2.552027765458869473e-04
2.483769082295139165e-04	1.046340458853985096e-04	-9.449168647395831799e-04	-2.513370273338394250e-04
2.817160905422001998e-04	1.136541273821598804e-04	-9.497490512502220058e-04	-2.545584850088763746e-04
3.150552728548863747e-04	1.120433985415453308e-04	-9.420175528317099520e-04	-2.600349630586075498e-04
3.483944551675727122e-04	1.130098358455994414e-04	-9.410511155218224000e-04	-2.639007122682489022e-04
3.817336374802589413e-04	9.271465248318634374e-05	-9.284874305889684277e-04	-2.426390916098550700e-04
4.150728197929463088e-04	1.284728326942567267e-04	-9.603798615673050498e-04	-2.506927357999523846e-04
4.484120021056323211e-04	1.027011712795700675e-04	-9.059372268834966872e-04	-2.548806307766332091e-04
4.817511844183182249e-04	1.097883781684153920e-04	-8.734005043743899976e-04	-2.555249223148173222e-04
5.150903667310046709e-04	1.278285411596530015e-04	-9.114137049283564879e-04	-2.494041527287922319e-04
5.484295490436907373e-04	1.142984189150020075e-04	-9.081922472599329547e-04	-2.513370273347515101e-04
5.817687313563794059e-04	9.658040169471518368e-05	-9.297760136692787046e-04	-2.506927357983259187e-04
6.151079136690657976e-04	1.159091477526170576e-04	-9.072258099506879010e-04	-2.680886072480538011e-04
6.484470959817520809e-04	1.104326697062767788e-04	-8.901520842713243594e-04	-2.651892953396673661e-04
6.817862782944378221e-04	9.754683899838033671e-05	-9.278431390679894647e-04	-2.436055289114349228e-04
7.151254606071238886e-04	1.181641681292684715e-04	-9.033600607334482972e-04	-2.558470680795820839e-04
7.484646429198103888e-04	1.258956665504973055e-04	-8.827427316127178358e-04	-2.600349630591913385e-04
7.818038252324961300e-04	1.136541273804625755e-04	-9.014271861269781971e-04	-2.471491323561810297e-04
8.151430075451824133e-04	1.178420223611847365e-04	-9.033600607092529163e-04	-2.581020884538834490e-04
8.484821898578681545e-04	1.059226289571460965e-04	-8.991721657341799094e-04	-2.735650852971969593e-04
