# Time (s)	Generation (V)	PC (V)	PL (V)
1.500263204070890169e-05	1.084997950990781085e-04	2.410231410778109970e-03	-2.606792545930814689e-04
4.834181435339528833e-05	9.400323555389290689e-05	-4.259400176820890061e-04	-2.622899834316728702e-04
8.168099666608183592e-05	1.104326697028219279e-04	-8.972392901586461128e-04	-2.523034646371135606e-04
1.150201789787680921e-04	1.081776493310620412e-04	-9.436282816198780917e-04	-2.642228580393881764e-04
1.483593612914544161e-04	9.335894401707259813e-05	-9.600577158077249970e-04	-2.490820069616199450e-04
1.816985436041414854e-04	1.213856258079522299e-04	-9.420175528310505402e-04	-2.561692138474050548e-04
2.150377259168277959e-04	1.178420223607931633e-04	-9.420175528236536793e-04	-2.761422514376938534e-04
2.483769082295139165e-04	1.165534392906769076e-04	-9.284874305918251920e-04	-2.684107530158766635e-04
2.817160905422001998e-04	1.081776493303428086e-04	-9.352524917075195595e-04	-2.587463799895933043e-04
3.150552728548863747e-04	1.049561916577183851e-04	-9.391182409143726149e-04	-2.455384035166775433e-04
3.483944551675727122e-04	1.033454628173021225e-04	-9.732656922544203042e-04	-2.597128172932564516e-04
3.817336374802589413e-04	1.072112120275930881e-04	-9.745542753268893058e-04	-2.358740304915028893e-04
4.150728197929463088e-04	9.464752708888656539e-05	-9.742321295597722048e-04	-2.619678376639807626e-04
4.484120021056323211e-04	1.010904424409105919e-04	-9.771314414658261414e-04	-2.635785665032226309e-04
4.817511844183182249e-04	9.561396439157183005e-05	-9.665006311340071637e-04	-2.648671495705437321e-04
5.150903667310046709e-04	1.191306054318243095e-04	-9.300981594085221604e-04	-2.548806307763732174e-04
5.484295490436907373e-04	1.097883781677634071e-04	-9.426618443393253643e-04	-2.529477561729521107e-04
5.817687313563794059e-04	1.220299173389712845e-04	-9.069036641638674855e-04	-2.564913596141197541e-04
6.151079136690657976e-04	1.123655443115840721e-04	-9.165680371786637769e-04	-2.597128172917591142e-04
6.484470959817520809e-04	1.075333577948914406e-04	-9.220445152263880397e-04	-2.648671495732110321e-04
6.817862782944378221e-04	1.281506869257148214e-04	-9.098029760683688447e-04	-2.700214818531006689e-04
7.151254606071238886e-04	1.030233170484360814e-04	-9.436282816491621756e-04	-2.690550445489813436e-04
7.484646429198103888e-04	1.068890662610708482e-04	-9.081922472329500900e-04	-2.713100649238065409e-04
7.818038252324961300e-04	1.142984189151994542e-04	-9.333196170921688678e-04	-2.613235461306128381e-04
8.151430075451824133e-04	9.754683899779200795e-05	-9.333196170889357770e-04	-2.616456918957671537e-04
8.484821898578681545e-04	1.123655443085849520e-04	-9.040043522573323800e-04	-2.587463799891389152e-04
8.818213721705542209e-04	9.658040169262874502e-05	-9.236552440626752403e-04	-2.494041527284666460e-04
9.151605544832444074e-04	9.658040169399937985e-05	-9.104472675939692195e-04	-2.587463799882268843e-04
9.484997367959307991e-04	1.239627919448650227e-04	-9.542590919728071363e-04	-2.581020884529081007e-04
9.818389191086165403e-04	1.200970427334014382e-04	-9.710106718813673980e-04	-2.539141934776567426e-04
1.015178101421302607e-03	1.043119001197945076e-04	-9.980709163361627546e-04	-2.761422514382148668e-04
1.048517283733989107e-03	1.159091477526822994e-04	-9.719771091943668270e-04	-2.577799426866480073e-04
1.081856466046675824e-03	1.107548154725347851e-04	-9.255881186809154391e-04	-2.552027765442619993e-04
1.115195648359362541e-03	1.178420223602718111e-04	-9.545812377500820190e-04	-2.622899834315409770e-04
1.148534830672048607e-03	1.027011712816542157e-04	-8.998164572976097243e-04	-2.677664614802307218e-04
1.181874012984734674e-03	1.001240051386816408e-04	-9.462054478182552273e-04	-2.696993360851491117e-04
1.215213195297422692e-03	1.075333577940444077e-04	-9.378296578644852678e-04	-2.658335868754430867e-04
1.248552377610108758e-03	1.184863138950698253e-04	-9.665006311628627708e-04	-2.719543564598405185e-04
1.281891559922794608e-03	1.171977308252774208e-04	-9.458833020496563472e-04	-2.725986479936637536e-04
