# Time (s)	Generation (V)	PC (V)	PL (V)
1.500263204070890169e-05	9.496967285625346655e-05	9.013006088445748611e-04	-2.668000241781949078e-04
4.834181435339528833e-05	1.159091477518349277e-04	-6.160060225597483374e-04	-2.658335868753126030e-04
8.168099666608183592e-05	1.220299173407980161e-04	-9.185009109445550768e-04	-2.561692138492906992e-04
1.150201789787680921e-04	1.001240051393996672e-04	-9.800307533377513453e-04	-2.394176339339059269e-04
1.483593612914544161e-04	9.110392364576868620e-05	-9.510376343080886473e-04	-2.539141934755098054e-04
1.816985436041414854e-04	1.001240051401796423e-04	-9.494269054785836734e-04	-2.481155696581510868e-04
2.150377259168277959e-04	1.104326697046481581e-04	-9.758428584093921648e-04	-2.510148815659526489e-04
2.483769082295139165e-04	9.883542206882571556e-05	-9.871179602576520690e-04	-2.413505085370682617e-04
2.817160905422001998e-04	1.094662324005922721e-04	-9.539369462129655740e-04	-2.465048408202761806e-04
3.150552728548863747e-04	1.204191884992669904e-04	-9.159237456598344615e-04	-2.526256104044781307e-04
3.483944551675727122e-04	1.052783374222836265e-04	-9.381518036157693308e-04	-2.497262984958990872e-04
3.817336374802589413e-04	1.088219408655988440e-04	-9.542590919947930217e-04	-2.484377154249984925e-04
4.150728197929463088e-04	1.027011712816568720e-04	-9.014271861269954359e-04	-2.490820069623367111e-04
4.484120021056323211e-04	1.197748969645374978e-04	-9.590912785091884997e-04	-2.645450038040225629e-04
4.817511844183182249e-04	1.149427104529289343e-04	-9.523262173972013448e-04	-2.535920477084671349e-04
5.150903667310046709e-04	9.400323555258842194e-05	-9.349303459513741508e-04	-2.571356511510670094e-04
5.484295490436907373e-04	1.130098358461215796e-04	-9.317088882811388074e-04	-2.545584850095920022e-04
5.817687313563794059e-04	1.159091477541815613e-04	-9.333196171084411161e-04	-2.552027765465396370e-04
6.151079136690657976e-04	1.155870019875981046e-04	-9.436282816625840564e-04	-2.558470680799062062e-04
6.484470959817520809e-04	1.191306054309775340e-04	-9.607020073311141415e-04	-2.571356511498950953e-04
6.817862782944378221e-04	1.184863138963751099e-04	-9.671449226804075235e-04	-2.465048408192997481e-04
