# Time (s)	Generation (V)	PC (V)	PL (V)
1.500263204070890169e-05	9.915756783534337472e-05	3.242940777858008272e-02	-2.674443157140997027e-04
4.834181435339528833e-05	1.213856258048895620e-04	4.226169213883852575e-03	-2.587463799894639048e-04
8.168099666608183592e-05	1.181641681270521183e-04	-1.971418452906590780e-05	-2.632564207342285591e-04
1.150201789787680921e-04	1.188084596621093381e-04	-7.074954330577082253e-04	-2.587463799875127746e-04
1.483593612914544161e-04	1.072112120274601921e-04	-7.951190828036927777e-04	-2.474712781231571844e-04
1.816985436041414854e-04	1.059226289570176728e-04	-8.376423241595999745e-04	-2.452162577484002918e-04
2.150377259168277959e-04	1.194527511969760907e-04	-8.875749181172851296e-04	-2.407062170027893363e-04
2.483769082295139165e-04	9.368108978541762584e-05	-8.833870231407370656e-04	-2.526256104059764439e-04
2.817160905422001998e-04	1.133319816136201978e-04	-8.769441078035003371e-04	-2.529477561729524360e-04
3.150552728548863747e-04	1.149427104518217064e-04	-8.859641892867341174e-04	-2.513370273338386119e-04
3.483944551675727122e-04	1.126876900777112016e-04	-8.994943115205818228e-04	-2.384511966288758176e-04
3.817336374802589413e-04	1.249292292508745190e-04	-8.991721657600944013e-04	-2.407062170057178748e-04
4.150728197929463088e-04	1.136541273803326339e-04	-9.011050403641646198e-04	-2.548806307769597166e-04
4.484120021056323211e-04	1.110769612412697055e-04	-9.040043522715114676e-04	-2.484377154239581463e-04
4.817511844183182249e-04	9.819113053239455406e-05	-9.133465795166740078e-04	-2.535920477070365843e-04
5.150903667310046709e-04	1.181641681275074290e-04	-8.827427316182495437e-04	-2.484377154246738282e-04
5.484295490436907373e-04	1.075333577961312800e-04	-8.518167379406513251e-04	-2.593906715219853384e-04
5.817687313563794059e-04	1.149427104537111319e-04	-8.795212739379680913e-04	-2.455384035153121533e-04
6.151079136690657976e-04	1.155870019878593431e-04	-9.020714776571273422e-04	-2.474712781238097114e-04
6.484470959817520809e-04	1.200970427339219366e-04	-8.866084808200910914e-04	-2.648671495731463594e-04
6.817862782944378221e-04	1.271842496229630003e-04	-8.759776705004715565e-04	-2.455384035170682898e-04
7.151254606071238886e-04	1.084997951001218834e-04	-8.225014731018876401e-04	-2.680886072454507943e-04
7.484646429198103888e-04	1.181641681296583370e-04	-8.476288429683724156e-04	-2.539141934728400118e-04
7.818038252324961300e-04	1.291171242273589674e-04	-8.669575890093933566e-04	-2.506927357978056101e-04
8.151430075451824133e-04	1.181641681283557494e-04	-8.656690059399746494e-04	-2.403840712358118535e-04
8.484821898578681545e-04	1.191306054303897609e-04	-8.769441078056247228e-04	-2.626121292000802260e-04
