# Time (s)	Generation (V)	PC (V)	PL (V)
1.500263204070890169e-05	1.165534392908043555e-04	1.728248786290727777e-03	-2.713100649238064867e-04
4.834181435339528833e-05	1.110769612412061035e-04	-5.167851265657747535e-04	-2.545584850110899902e-04
8.168099666608183592e-05	1.136541273820272012e-04	-8.730783577579188893e-04	-2.616456918976538823e-04
1.150201789787680921e-04	1.226742088755945531e-04	-9.185009117473894383e-04	-2.597128172911744039e-04
1.483593612914544161e-04	1.204191885008345570e-04	-9.433061358837361047e-04	-2.581020884528428317e-04
1.816985436041414854e-04	1.139762731495896247e-04	-9.384739493846374183e-04	-2.455384035164824411e-04
2.150377259168277959e-04	1.197748969644720120e-04	-9.703663803491692193e-04	-2.468269865876431901e-04
2.483769082295139165e-04	9.947971360388194607e-05	-9.565141123508097507e-04	-2.513370273350764455e-04
2.817160905422001998e-04	1.175198765936863758e-04	-9.497490512303213665e-04	-2.516591730995148624e-04
3.150552728548863747e-04	1.162312935234381726e-04	-9.600577157833618900e-04	-2.313639897460867650e-04
3.483944551675727122e-04	1.139762731480273707e-04	-9.584469869576878361e-04	-2.461826950523231055e-04
3.817336374802589413e-04	9.690254746227847452e-05	-9.262324102181321728e-04	-2.616456918968074457e-04
4.150728197929463088e-04	1.136541273807893947e-04	-9.387960951386434792e-04	-2.465048408207314913e-04
4.484120021056323211e-04	1.091440866332915209e-04	-9.442725731775223870e-04	-2.474712781228323574e-04
4.817511844183182249e-04	1.226742088753336941e-04	-9.587691327142510963e-04	-2.648671495713260924e-04
5.150903667310046709e-04	1.149427104509072360e-04	-9.549033835161698869e-04	-2.622899834321275304e-04
5.484295490436907373e-04	9.947971360479607758e-05	-9.842186483473242074e-04	-2.465048408205356301e-04
5.817687313563794059e-04	1.297614157662651320e-04	-9.880843975571026571e-04	-2.529477561728214643e-04
6.151079136690657976e-04	1.075333577961960069e-04	-9.523262173789764484e-04	-2.516591731014665889e-04
6.484470959817520809e-04	1.123655443107372695e-04	-9.549033835081225047e-04	-2.600349630590617221e-04
6.817862782944378221e-04	1.191306054325424308e-04	-9.813193364408350720e-04	-2.545584850105035452e-04
7.151254606071238886e-04	1.239627919447339156e-04	-9.636013192286117714e-04	-2.526256104032437123e-04
7.484646429198103888e-04	1.355600395849906501e-04	-9.703663803431432236e-04	-2.629342749672526213e-04
7.818038252324961300e-04	1.142984189153274850e-04	-9.845407941237104780e-04	-2.564913596155518768e-04
8.151430075451824133e-04	1.217077715734291363e-04	-9.861515229540674179e-04	-2.442498204489032998e-04
8.484821898578681545e-04	1.339493107448313028e-04	-1.048003510308881565e-03	-2.465048408215114663e-04
8.818213721705542209e-04	1.126876900772563110e-04	-9.871179602675332707e-04	-2.313639897458266920e-04
9.151605544832444074e-04	1.213856258059321986e-04	-9.706885261227556462e-04	-2.552027765450412696e-04
9.484997367959307991e-04	9.980185937144424757e-05	-9.800307533812146251e-04	-2.523034646375033854e-04
9.818389191086165403e-04	1.136541273824182187e-04	-9.655341938466305762e-04	-2.265318032316117065e-04
1.015178101421302607e-03	1.152648562200999879e-04	-1.033506950777841665e-03	-2.323304270481887695e-04
1.048517283733989107e-03	1.204191885023334530e-04	-1.024809015056714562e-03	-2.548806307787824230e-04
1.081856466046675824e-03	1.220299173401458008e-04	-1.019010391243193757e-03	-2.397397797002974798e-04
1.115195648359362541e-03	1.268621038527926776e-04	-9.845407941332445182e-04	-2.635785665019865862e-04
1.148534830672048607e-03	1.078555035638243228e-04	-9.384739493789797261e-04	-2.523034646369176452e-04
1.181874012984734674e-03	1.249292292464429239e-04	-9.481383224070101144e-04	-2.539141934725150222e-04
1.215213195297422692e-03	1.136541273796822074e-04	-9.478161766430276587e-04	-2.793637091129271520e-04
1.248552377610108758e-03	1.081776493307986072e-04	-9.378296578462608050e-04	-2.535920477076862383e-04
1.281891559922794608e-03	1.075333577944366449e-04	-8.814541485426760376e-04	-2.751758141326662377e-04
1.315230742235480241e-03	1.046340458865725379e-04	-9.162458914214264682e-04	-2.725986479924934658e-04
1.348569924548166741e-03	1.068890662612018199e-04	-9.420175528199698856e-04	-2.722765022258421381e-04
1.381909106860852374e-03	1.139762731477006463e-04	-9.610241531012067269e-04	-2.999810382374966649e-04
1.415248289173538223e-03	1.159091477548320555e-04	-9.697220888191679595e-04	-3.199540758269423879e-04
1.448587471486224290e-03	1.094662324003969667e-04	-9.626348819408921424e-04	-3.473364660699293505e-04
1.481926653798910139e-03	8.143955061499201379e-05	-9.220445152466920022e-04	-3.966247685058471107e-04
1.515265836111600543e-03	6.339938762701384132e-05	-9.468497393452704860e-04	-5.016442887211919029e-04
1.548605018424287260e-03	3.376197700321105114e-05	-9.974266248298285439e-04	-6.327576160987416444e-04
1.581944200736973543e-03	2.699691588446997734e-05	-1.010956747050583207e-03	-8.025284355606308005e-04
1.615283383049659826e-03	-2.229138656472892405e-05	-1.048969947607983908e-03	-1.017399662450191918e-03
1.648622565362346326e-03	-5.515025486376045239e-05	-1.077963066669116983e-03	-1.307008707340718895e-03
1.681961747675032610e-03	-1.118479099643518502e-04	-1.169774610383910460e-03	-1.645906054572260704e-03
