# Time (s)	Generation (V)	PC (V)	PL (V)
3.048868222495171743e-03	-1.257635118803756002e-01	-1.246459882777134348e-01	-7.519192159890573102e-01
3.082207404807858677e-03	-1.306807445857802175e-01	-1.295400264908813937e-01	-7.813810652876286289e-01
3.115546587120545177e-03	-1.356682050571968723e-01	-1.345429499598391199e-01	-8.111988869802120306e-01
3.148885769433231244e-03	-1.406537326471956062e-01	-1.395233232194064421e-01	-8.406269134430979229e-01
3.182224951745917310e-03	-1.456424816880785289e-01	-1.445040186180886477e-01	-8.711315528576829559e-01
3.215564134058603377e-03	-1.506479823014719166e-01	-1.494843918646553416e-01	-9.015369728240791858e-01
3.248903316371289443e-03	-1.556586372408089447e-01	-1.545169527161017464e-01	-9.317790663690685982e-01
3.282242498683975510e-03	-1.607250233884659485e-01	-1.595904260714594292e-01	-9.614818891988212712e-01
3.315581680996661576e-03	-1.657508191667244057e-01	-1.646146111221801489e-01	-9.915561479772107001e-01
3.348920863309347642e-03	-1.707472996770630358e-01	-1.695933736176425677e-01	-1.021906487604814284e+00
3.382260045622033709e-03	-1.758433232178880368e-01	-1.747048601553067571e-01	-1.052069340103163997e+00
3.415599227934719775e-03	-1.810073195062853191e-01	-1.798508162829935975e-01	-1.082633588446770379e+00
3.448938410247408010e-03	-1.861487655882721193e-01	-1.850409063733114146e-01	-1.113394347907009863e+00
3.482277592560094077e-03	-1.912782922737968072e-01	-1.901862182011239966e-01	-1.143956667493388757e+00
3.515616774872780143e-03	-1.964377785099453433e-01	-1.953154227380730079e-01	-1.174933913440700195e+00
3.548955957185466210e-03	-2.015785802897075152e-01	-2.004981034652022487e-01	-1.205391539970868786e+00
3.582295139498152276e-03	-2.066762145369703541e-01	-2.056025027736502198e-01	-1.235451318305509805e+00
3.615634321810838343e-03	-2.117287483776565116e-01	-2.106801639828158879e-01	-1.265927956103855223e+00
3.648973504123524409e-03	-2.168373355755724707e-01	-2.158067913427738072e-01	-1.295909135476289054e+00
3.682312686436210476e-03	-2.219768487630196796e-01	-2.209717540442736328e-01	-1.326594851103209516e+00
3.715651868748896976e-03	-2.270306711813226408e-01	-2.260465159361388088e-01	-1.356401432204141777e+00
3.748991051061583042e-03	-2.320226416158502336e-01	-2.310291441443065585e-01	-1.385497039010463505e+00
3.782330233374269109e-03	-2.370358736686632717e-01	-2.360887651842381307e-01	-1.415538147732195329e+00
3.815669415686955175e-03	-2.420729445060168239e-01	-2.411287353333381178e-01	-1.444813517312168116e+00
3.849008597999641242e-03	-2.470288346160236514e-01	-2.461368130537061882e-01	-1.474595303651656808e+00
3.882347780312327308e-03	-2.518751951736117323e-01	-2.510063681047333128e-01	-1.504060422868552571e+00
3.915686962625015109e-03	-2.567389516018109830e-01	-2.558946076092942779e-01	-1.532706648689286411e+00
3.949026144937704645e-03	-2.615363460077164692e-01	-2.607248608808434009e-01	-1.562365705710698105e+00
3.982365327250390712e-03	-2.662925057595417200e-01	-2.655683221288747120e-01	-1.591305412583113865e+00
4.015704509563076778e-03	-2.709407466886767923e-01	-2.702474890491515791e-01	-1.619330226226570968e+00
4.049043691875768049e-03	-2.755654709800525182e-01	-2.749372867804498188e-01	-1.647106023349921067e+00
4.082382874188454115e-03	-2.801273768531851727e-01	-2.795320515191743183e-01	-1.673945987424696025e+00
4.115722056501140182e-03	-2.846734975868275841e-01	-2.841055546407576515e-01	-1.700569793775372096e+00
4.149061238813826248e-03	-2.890781963410918309e-01	-2.885666288999171325e-01	-1.727251589159784162e+00
4.182400421126509713e-03	-2.934120230339527513e-01	-2.929648847413023338e-01	-1.753595455393708313e+00
4.215739603439195779e-03	-2.977326417536932945e-01	-2.973347917596409484e-01	-1.778632375104961971e+00
4.249078785751881845e-03	-3.019939856590652671e-01	-3.015974242477493239e-01	-1.804263980179804827e+00
4.282417968064567912e-03	-3.061854239405755185e-01	-3.058648889247171931e-01	-1.829169791181868510e+00
4.315757150377253978e-03	-3.102515475301713677e-01	-3.100073610556181025e-01	-1.853834961025101702e+00
4.349096332689940045e-03	-3.142429333097542243e-01	-3.140519008829552039e-01	-1.877601021564097694e+00
4.382435515002626111e-03	-3.182030709549307779e-01	-3.180126828194868582e-01	-1.900191892662587811e+00
4.415774697315314780e-03	-3.220523904666595660e-01	-3.219383508727582388e-01	-1.923037261993197911e+00
4.449113879628000846e-03	-3.258894684430268529e-01	-3.257947575937773510e-01	-1.945276030877133744e+00
4.482453061940686913e-03	-3.295889901889402229e-01	-3.295461448047343755e-01	-1.967357272040577865e+00
4.515792244253372979e-03	-3.332044318981136621e-01	-3.331896131938036354e-01	-1.988858006459836458e+00
4.549131426566056444e-03	-3.367857261611383324e-01	-3.368543432051865349e-01	-2.009060812578088662e+00
4.582470608878747714e-03	-3.403025912778723239e-01	-3.404124429775639005e-01	-2.029139593921083673e+00
4.615809791191433781e-03	-3.436831887466463842e-01	-3.438539259926522429e-01	-2.049191316729528367e+00
4.649148973504117245e-03	-3.470180415222165471e-01	-3.472441878369156298e-01	-2.068445727309122351e+00
4.682488155816803312e-03	-3.502295124793733394e-01	-3.505142893203458954e-01	-2.088016488110822966e+00
4.715827338129489378e-03	-3.533101922657033156e-01	-3.536819484588857310e-01	-2.106417534283996140e+00
4.749166520442175445e-03	-3.562755438768113181e-01	-3.567503867097622794e-01	-2.123533536898428054e+00
