# Time (s)	Generation (V)	PC (V)	PL (V)
9.818389191086165403e-04	1.065669204929880890e-04	-9.468497393269880184e-04	-2.690550445505449800e-04
1.015178101421302607e-03	9.690254746168850590e-05	-9.574805496430915941e-04	-2.590685257553994422e-04
1.048517283733989107e-03	1.023790255115510458e-04	-9.404068239710141079e-04	-2.445719662156190292e-04
1.081856466046675824e-03	1.136541273818977610e-04	-9.059372268449629494e-04	-2.616456918958967701e-04
1.115195648359362541e-03	1.088219408654673168e-04	-8.946621249960530660e-04	-2.571356511502197596e-04
1.148534830672048607e-03	1.171977308236468756e-04	-9.619905903971402716e-04	-2.722765022268827011e-04
1.181874012984734674e-03	1.120433985446738097e-04	-9.127022879744138908e-04	-2.587463799883580186e-04
1.215213195297422692e-03	9.980185937222929126e-05	-9.297760136483807078e-04	-2.719543564599719780e-04
1.248552377610108758e-03	1.255735207852822475e-04	-8.930513961589437149e-04	-2.561692138467546419e-04
1.281891559922794608e-03	9.690254746084427833e-05	-9.284874305765235215e-04	-2.764643972039558441e-04
1.315230742235480241e-03	1.178420223600763701e-04	-9.059372268686336849e-04	-2.848401871621362839e-04
1.348569924548166741e-03	9.593611016044009373e-05	-8.885413554314317529e-04	-2.870952075352012248e-04
1.381909106860852374e-03	9.432538132164887401e-05	-8.891856469730490464e-04	-2.983703093992958475e-04
1.415248289173538223e-03	9.174821518036960601e-05	-9.123801422273353397e-04	-3.305848861574713820e-04
1.448587471486224290e-03	8.562744559584373693e-05	-9.217223694880660474e-04	-3.589337137030803324e-04
1.481926653798910139e-03	8.949319480665170439e-05	-9.362189290196067408e-04	-4.133763484167419849e-04
1.515265836111600543e-03	7.660736410006123800e-05	-9.790643160857788376e-04	-4.900470410922658400e-04
1.548605018424287260e-03	4.149347542711467977e-05	-9.983930621398318887e-04	-6.172946192590689392e-04
1.581944200736973543e-03	3.021837355807242918e-05	-1.009668163996978564e-03	-8.257229308191974156e-04
1.615283383049659826e-03	-2.454640693890438271e-05	-1.028030472736413906e-03	-1.051547113795227697e-03
1.648622565362346326e-03	-5.804956677325388489e-05	-1.074097317480147192e-03	-1.350820531699652161e-03
1.681961747675032610e-03	-1.128143472668417146e-04	-1.175251088445292092e-03	-1.690684316227275726e-03
1.715300929987719110e-03	-1.592033378015364042e-04	-1.209398539787540387e-03	-2.116238874760274953e-03
1.748640112300405176e-03	-2.291089693694419241e-04	-1.275760567862012102e-03	-2.592692464384259519e-03
