# Time (s)	Generation (V)	PC (V)	PL (V)
1.500263204070890169e-05	9.786898476607393510e-05	3.335756169746583160e-03	-2.597128172905232863e-04
4.834181435339528833e-05	1.033454628149543776e-04	-3.592558471062106459e-04	-2.613235461305476776e-04
8.168099666608183592e-05	9.110392364576624675e-05	-8.469845506751915972e-04	-2.600349630574348226e-04
1.150201789787680921e-04	8.723817443469554999e-05	-8.843534604102123910e-04	-2.587463799897892196e-04
1.483593612914544161e-04	1.126876900757573473e-04	-9.114137049216748752e-04	-2.639007122688972009e-04
1.816985436041414854e-04	9.303679825198890477e-05	-9.146351625935977793e-04	-2.561692138481845419e-04
2.150377259168277959e-04	1.113991070062886449e-04	-8.988500199844130789e-04	-2.590685257563753326e-04
2.483769082295139165e-04	1.168755850579113057e-04	-9.317088882677661494e-04	-2.713100649230256443e-04
2.817160905422001998e-04	1.001240051403106139e-04	-9.465275935646201566e-04	-2.571356511513918906e-04
3.150552728548863747e-04	9.980185937040207179e-05	-8.991721657600279397e-04	-2.645450038045420583e-04
3.483944551675727122e-04	1.046340458868970938e-04	-8.956285623137820017e-04	-2.587463799889433251e-04
3.817336374802589413e-04	1.117212527766574037e-04	-9.181787660266316296e-04	-2.600349630571758609e-04
4.150728197929463088e-04	1.091440866357698173e-04	-8.962728538340395366e-04	-2.696993360870362198e-04
4.484120021056323211e-04	9.271465248318852569e-05	-9.133465795251685150e-04	-2.648671495722361175e-04
4.817511844183182249e-04	1.004461509069604644e-04	-8.920849588656659234e-04	-2.655114411093126097e-04
5.150903667310046709e-04	1.052783374237180260e-04	-8.682461720715646059e-04	-2.619678376632635628e-04
5.484295490436907373e-04	1.117212527748300623e-04	-8.856420435059784036e-04	-2.561692138470130615e-04
5.817687313563794059e-04	1.010904424420202050e-04	-8.769441077890735093e-04	-2.700214818536228207e-04
6.151079136690657976e-04	9.561396439098598140e-05	-9.288095763462829316e-04	-2.416726543054748314e-04
6.484470959817520809e-04	1.030233170470020072e-04	-9.133465795005108303e-04	-2.706657733883544546e-04
6.817862782944378221e-04	8.530529982665112062e-05	-9.172123287174914182e-04	-2.700214818527114403e-04
7.151254606071238886e-04	1.162312935236346707e-04	-8.940178334664336621e-04	-2.729207937625269080e-04
7.484646429198103888e-04	1.123655443109333068e-04	-8.785548366226199552e-04	-2.703436276207290254e-04
7.818038252324961300e-04	9.303679825101058849e-05	-8.988500199826090749e-04	-2.658335868750515271e-04
8.151430075451824133e-04	9.915756783345171298e-05	-8.962728538385826690e-04	-2.587463799892696158e-04
8.484821898578681545e-04	1.072112120294171905e-04	-8.560046328992189802e-04	-2.581020884523223063e-04
8.818213721705542209e-04	1.056004831887389034e-04	-8.795212739205720675e-04	-2.709879191550070292e-04
9.151605544832444074e-04	1.097883781677641796e-04	-8.930513961588961184e-04	-2.719543564587360417e-04
9.484997367959307991e-04	1.007682966751084113e-04	-8.814541485323648413e-04	-2.600349630593225812e-04
9.818389191086165403e-04	9.110392364407356321e-05	-9.007828945832273022e-04	-2.642228580391936163e-04
1.015178101421302607e-03	1.133319816123814697e-04	-9.581248411905361490e-04	-2.426390916093332977e-04
1.048517283733989107e-03	1.117212527755484004e-04	-9.455611562634294240e-04	-2.577799426853446337e-04
1.081856466046675824e-03	7.854023870751782651e-05	-9.462054478065358692e-04	-2.503705900308926102e-04
1.115195648359362541e-03	1.133319816147951612e-04	-9.317088882707788219e-04	-2.622899834314119027e-04
1.148534830672048607e-03	9.496967285644775558e-05	-9.429839901242176347e-04	-2.703436276220960960e-04
1.181874012984734674e-03	1.065669204914246830e-04	-9.162458914330331777e-04	-2.780751260433300394e-04
1.215213195297422692e-03	1.104326697056247125e-04	-8.962728538446255782e-04	-2.639007122706540963e-04
1.248552377610108758e-03	1.165534392891747590e-04	-8.878970639015767519e-04	-2.825851667879636137e-04
