# Time (s)	Generation (V)	PC (V)	PL (V)
1.500263204070890169e-05	7.789594717232968925e-05	2.027522222095118690e-03	-2.655114411062532622e-04
4.834181435339528833e-05	1.065669204931198331e-04	-6.975089017640514555e-04	-2.732429395276836630e-04
8.168099666608183592e-05	1.101105239360402656e-04	-8.991721649096258342e-04	-2.593906715249130637e-04
1.150201789787680921e-04	9.561396439039773396e-05	-9.075479556599221585e-04	-2.548806307768939597e-04
1.483593612914544161e-04	1.036676085861036400e-04	-8.975614369144160583e-04	-2.581020884527771833e-04
1.816985436041414854e-04	8.433886252311600408e-05	-9.020714776576930789e-04	-2.568135053825285194e-04
2.150377259168277959e-04	9.980185937235661726e-05	-9.136687252851136186e-04	-2.651892953413583420e-04
2.483769082295139165e-04	9.013748634112645017e-05	-9.046486437992861014e-04	-2.742093768310192186e-04
2.817160905422001998e-04	1.030233170493495082e-04	-8.927292504005829559e-04	-2.574577969195402305e-04
3.150552728548863747e-04	8.691602866641626559e-05	-8.911185215531031026e-04	-2.674443157133184808e-04
3.483944551675727122e-04	1.200970427334679133e-04	-8.927292504012407414e-04	-2.555249223120189422e-04
3.817336374802589413e-04	1.155870019856416889e-04	-9.091586845430850569e-04	-2.545584850100475840e-04
4.150728197929463088e-04	1.075333577984129022e-04	-9.120579964532185210e-04	-2.748536683695281045e-04
4.484120021056323211e-04	1.084997950999248026e-04	-9.056150810938003171e-04	-2.651892953401871326e-04
4.817511844183182249e-04	1.075333577969810912e-04	-9.168901829530971825e-04	-2.593906715224401070e-04
5.150903667310046709e-04	1.059226289586463749e-04	-9.120579964513619332e-04	-2.555249223129956457e-04
5.484295490436907373e-04	9.947971360453238606e-05	-9.246216813741848671e-04	-2.481155696579571230e-04
5.817687313563794059e-04	1.043119001167940594e-04	-8.985278742142577182e-04	-2.590685257552050990e-04
6.151079136690657976e-04	1.027011712811998944e-04	-9.043264980302437826e-04	-2.642228580384119066e-04
6.484470959817520809e-04	8.498315406111077485e-05	-9.162458914246732200e-04	-2.854844786962179386e-04
6.817862782944378221e-04	9.496967285599271593e-05	-8.772662535645209692e-04	-2.587463799891380478e-04
7.151254606071238886e-04	8.627173713214048446e-05	-8.946621249972030792e-04	-2.645450038026558718e-04
7.484646429198103888e-04	1.062447747270561430e-04	-8.782326908674295118e-04	-2.748536683672507920e-04
7.818038252324961300e-04	1.072112120277858728e-04	-9.069036641629669472e-04	-2.622899834318671592e-04
8.151430075451824133e-04	9.529181862401123616e-05	-9.052929353352055872e-04	-2.706657733880310371e-04
8.484821898578681545e-04	1.014125882101699137e-04	-9.033600607305528269e-04	-2.490820069596680016e-04
8.818213721705542209e-04	1.130098358463170070e-04	-8.872527723544482419e-04	-2.696993360850184112e-04
9.151605544832444074e-04	1.046340458870938630e-04	-8.392530530023510800e-04	-2.703436276224210314e-04
9.484997367959307991e-04	1.046340458868964704e-04	-9.046486438001580168e-04	-2.523034646345741422e-04
9.818389191086165403e-04	9.722469323088117643e-05	-9.107694133805196686e-04	-2.477934238905907098e-04
1.015178101421302607e-03	7.821809293949991615e-05	-9.913058552372586672e-04	-2.800080006477911128e-04
1.048517283733989107e-03	1.097883781688054067e-04	-9.413732612709689584e-04	-2.587463799895939548e-04
1.081856466046675824e-03	8.852675750344382718e-05	-9.146351625810796894e-04	-2.684107530152258711e-04
1.115195648359362541e-03	1.168755850564113526e-04	-9.017493318839284091e-04	-2.584242342218363614e-04
1.148534830672048607e-03	1.065669204910970100e-04	-9.007828945841630771e-04	-2.709879191567650630e-04
1.181874012984734674e-03	9.947971360466564806e-05	-8.598703821075481769e-04	-2.793637091129262846e-04
1.215213195297422692e-03	8.659388289702868262e-05	-8.927292503829290004e-04	-2.606792545943163210e-04
1.248552377610108758e-03	1.072112120280493069e-04	-9.410511155067919969e-04	-2.700214818547285443e-04
1.281891559922794608e-03	1.001240051372473091e-04	-9.426618443450041985e-04	-2.651892953389515216e-04
1.315230742235480241e-03	9.239250671314895775e-05	-9.355746374591285578e-04	-2.883837906066228328e-04
1.348569924548166741e-03	1.091440866332257776e-04	-9.429839901197505049e-04	-2.835516040923417923e-04
1.381909106860852374e-03	1.010904424431276227e-04	-9.751985668654434029e-04	-3.106118485688724208e-04
1.415248289173538223e-03	9.207036094493402075e-05	-9.822857737461253898e-04	-3.225312419675056895e-04
1.448587471486224290e-03	8.562744559597346172e-05	-9.497490512349306352e-04	-3.476586118366443209e-04
1.481926653798910139e-03	7.628521833178084229e-05	-9.636013192340636821e-04	-3.975912058075586940e-04
1.515265836111600543e-03	6.984230297930145090e-05	-9.922722925246453378e-04	-4.761947730856591707e-04
1.548605018424287260e-03	4.858068231458905780e-05	-1.037372699968084526e-03	-5.796035644628019529e-04
1.581944200736973543e-03	2.248687513736255861e-05	-1.038983428811678707e-03	-7.290792005761325160e-04
1.615283383049659826e-03	8.956752895451397691e-06	-1.085694565079587184e-03	-9.104472676605184162e-04
1.648622565362346326e-03	-4.033154955466089660e-05	-1.142392220143742965e-03	-1.115331975745076538e-03
1.681961747675032610e-03	-5.579454639777838313e-05	-1.149479427032188165e-03	-1.349531948630895142e-03
1.715300929987719110e-03	-9.477418428101316264e-05	-1.199412020978168165e-03	-1.621100830492927351e-03
1.748640112300405176e-03	-1.279551983432447864e-04	-1.222928661995092070e-03	-1.936481536650414741e-03
1.781979294613091677e-03	-1.910957687927343474e-04	-1.286069232408175965e-03	-2.270546697245542141e-03
1.815318476925777960e-03	-2.274982405318917093e-04	-1.321183121054821412e-03	-2.579806633702669359e-03
1.848657659238465327e-03	-2.954709974912994000e-04	-1.358874175827376679e-03	-2.971213740695261094e-03
1.881996841551151394e-03	-3.528129441184217163e-04	-1.433289848073782775e-03	-3.340070643908428852e-03
1.915336023863837894e-03	-3.882489785475388435e-04	-1.517369893358343214e-03	-3.722779815012504812e-03
1.948675206176523960e-03	-4.655639627580553542e-04	-1.541852971676978051e-03	-4.100334653752394851e-03
1.982014388489209810e-03	-5.035771633276041066e-04	-1.596617752123826372e-03	-4.464681515974629200e-03
2.015353570801895877e-03	-5.725163575758474227e-04	-1.650416095270585077e-03	-4.815820401680660258e-03
2.048692753114581943e-03	-6.208382227004329316e-04	-1.705503021476888550e-03	-5.175979368776859567e-03
2.082031935427268009e-03	-6.681936505222038983e-04	-1.756724198478031625e-03	-5.514554569428485771e-03
2.115371117739955377e-03	-7.261798886720976891e-04	-1.813099707760795808e-03	-5.867626329503015069e-03
2.148710300052642744e-03	-7.851325641198708422e-04	-1.865287322047484144e-03	-6.218120923376879022e-03
2.182049482365330546e-03	-8.189578697025372408e-04	-1.936159390841423692e-03	-6.554118957689872987e-03
2.215388664678016612e-03	-8.795212739857196076e-04	-1.990279879741172018e-03	-6.883029785070568160e-03
2.248727846990702679e-03	-9.300981594759683176e-04	-2.035058141388491372e-03	-7.219994256542385837e-03
2.282067029303388745e-03	-9.764871499846673221e-04	-2.052776158585291246e-03	-7.559858039840352401e-03
2.315406211616074812e-03	-1.060567195283400668e-03	-2.132990454624093118e-03	-8.119747381236592718e-03
2.348745393928761745e-03	-1.271894818695916158e-03	-2.261526615717612994e-03	-9.248546144917952488e-03
2.382084576241447812e-03	-1.413638956334239494e-03	-2.399405004071441389e-03	-1.023205716762434596e-02
