# Time (s)	Generation (V)	PC (V)	PL (V)
1.500263204070890169e-05	9.851327629871965892e-05	3.038415755688905154e-03	-2.632564207347488677e-04
4.834181435339528833e-05	8.659388289637718554e-05	-2.948266848634606332e-04	-2.696993360854092660e-04
8.168099666608183592e-05	1.091440866335497507e-04	-8.305551160977511695e-04	-2.442498204459085166e-04
1.150201789787680921e-04	9.368108978770115891e-05	-8.953064164858405083e-04	-2.577799426841742916e-04
1.483593612914544161e-04	9.980185937014208011e-05	-9.027157691864828512e-04	-2.648671495722363886e-04
1.816985436041414854e-04	9.754683899831533879e-05	-9.101251218328976298e-04	-2.709879191558536285e-04
2.150377259168277959e-04	1.094662324020913849e-04	-9.265545559720713385e-04	-2.774308345073585118e-04
2.483769082295139165e-04	8.111740484860468928e-05	-9.526483631392163465e-04	-2.600349630588024352e-04
2.817160905422001998e-04	1.007682966749783206e-04	-9.974266248065463865e-04	-2.655114411078803786e-04
3.150552728548863747e-04	9.207036094780454087e-05	-9.339639086281084114e-04	-2.803301464165907329e-04
3.483944551675727122e-04	9.432538132119338713e-05	-9.365410747637466704e-04	-2.629342749675141850e-04
3.817336374802589413e-04	1.039897543514480297e-04	-9.210780779319279257e-04	-2.619678376638491404e-04
4.150728197929463088e-04	9.303679825087956266e-05	-9.072258099404571525e-04	-2.664778784103715033e-04
4.484120021056323211e-04	9.593611015907116651e-05	-9.693999430521687112e-04	-2.629342749673177276e-04
4.817511844183182249e-04	8.949319480841364134e-05	-8.830648773699805148e-04	-2.668000241777388924e-04
5.150903667310046709e-04	1.049561916533519777e-04	-9.545812377434077789e-04	-2.626121291994291083e-04
5.484295490436907373e-04	8.240598791982914871e-05	-9.607020073215161333e-04	-2.632564207331230524e-04
5.817687313563794059e-04	1.075333577963276561e-04	-9.806750448895728244e-04	-2.477934238903958244e-04
6.151079136690657976e-04	8.143955061694825332e-05	-1.002903102851900909e-03	-2.593906715227665602e-04
6.484470959817520809e-04	9.496967285547050996e-05	-9.971044790431592662e-04	-2.738872310647593963e-04
6.817862782944378221e-04	8.691602866615654496e-05	-9.787421702992997290e-04	-2.677664614809472710e-04
7.151254606071238886e-04	9.368108978574380807e-05	-1.004191685919020131e-03	-2.616456918963523518e-04
7.484646429198103888e-04	1.001240051396588729e-04	-1.000648082483470390e-03	-2.519813188687691969e-04
7.818038252324961300e-04	9.980185937190087287e-05	-1.001936665551722387e-03	-2.413505085396064332e-04
8.151430075451824133e-04	1.062447747246445385e-04	-9.896951263951994995e-04	-2.568135053822675519e-04
8.484821898578681545e-04	8.337242522193058405e-05	-9.977487705697259904e-04	-2.613235461289200191e-04
8.818213721705542209e-04	8.337242522088656512e-05	-9.642456107634953021e-04	-2.661557326430693832e-04
9.151605544832444074e-04	1.065669204906427429e-04	-9.500711970053427350e-04	-2.887059363717772026e-04
9.484997367959307991e-04	9.754683899694483948e-05	-8.924071046358390651e-04	-2.651892953390815716e-04
9.818389191086165403e-04	9.271465248390378742e-05	-9.201116406345529342e-04	-2.655114411082707998e-04
1.015178101421302607e-03	9.690254746279825459e-05	-9.619905903993324200e-04	-2.674443157124737247e-04
1.048517283733989107e-03	9.078177787742302152e-05	-9.603798615702871478e-04	-2.742093768319965727e-04
1.081856466046675824e-03	9.303679825101053428e-05	-9.607020073412231341e-04	-2.642228580371755908e-04
1.115195648359362541e-03	1.017347339778608558e-04	-9.481383224062966009e-04	-2.767865429726893279e-04
1.148534830672048607e-03	7.821809293780537591e-05	-9.748764211073444787e-04	-2.709879191557236326e-04
1.181874012984734674e-03	9.335894401746308710e-05	-9.520040716253622181e-04	-2.774308345061220335e-04
1.215213195297422692e-03	9.045963210810161555e-05	-9.555476750667921300e-04	-2.722765022248013040e-04
1.248552377610108758e-03	9.819113053389557776e-05	-9.748764211110420418e-04	-2.635785665032874662e-04
1.281891559922794608e-03	8.691602866543880312e-05	-9.410511155175493424e-04	-2.758201056696130051e-04
1.315230742235480241e-03	9.496967285814386791e-05	-9.371853663156137944e-04	-2.932159771177788232e-04
1.348569924548166741e-03	8.981534057252172894e-05	-9.307424509596326197e-04	-3.083568281957415062e-04
1.381909106860852374e-03	7.241946912051520598e-05	-9.297760136546802476e-04	-3.080346824261632121e-04
1.415248289173538223e-03	8.369457098760247065e-05	-9.616684446331586833e-04	-3.186654927566273166e-04
1.448587471486224290e-03	9.174821517887049322e-05	-9.716549634205719080e-04	-3.524907983507946066e-04
1.481926653798910139e-03	7.692950986664381376e-05	-9.404068239817549735e-04	-4.162756603269488495e-04
1.515265836111600543e-03	6.662084530393861726e-05	-9.252659729115369092e-04	-4.845705630429920896e-04
