# Time (s)	Generation (V)	PC (V)	PL (V)
1.500263204070890169e-05	1.101105239355851988e-04	1.583927472667526161e-03	-2.529477561738643042e-04
4.834181435339528833e-05	1.033454628155411207e-04	-7.158712113474665229e-04	-2.552027765439360881e-04
8.168099666608183592e-05	1.226742088752668530e-04	-9.658563388238643275e-04	-2.635785665017248056e-04
1.150201789787680921e-04	1.226742088749420260e-04	-9.636013192172552958e-04	-2.510148815675784643e-04
1.483593612914544161e-04	1.091440866328996224e-04	-9.300981594446269601e-04	-2.471491323563767281e-04
1.816985436041414854e-04	1.123655443107371069e-04	-9.536148004472624895e-04	-2.503705900316090509e-04
2.150377259168277959e-04	1.152648562189930446e-04	-9.271988475170188674e-04	-2.523034646365911377e-04
2.483769082295139165e-04	1.297614157643094211e-04	-9.246216813800985394e-04	-2.497262984966142269e-04
2.817160905422001998e-04	1.133319816150538790e-04	-9.065815183967508182e-04	-2.452162577509380838e-04
3.150552728548863747e-04	1.123655443109981692e-04	-9.378296578415746664e-04	-2.477934238902650154e-04
3.483944551675727122e-04	1.091440866349195453e-04	-9.062593726328283189e-04	-2.629342749686181739e-04
3.817336374802589413e-04	1.036676085822556438e-04	-8.746890874322979471e-04	-2.629342749668622543e-04
4.150728197929463088e-04	1.339493107457445534e-04	-9.088365387624013341e-04	-2.426390916083574886e-04
4.484120021056323211e-04	1.287949784607084528e-04	-9.123801421976884818e-04	-2.439276746799720846e-04
4.817511844183182249e-04	1.020568797453587150e-04	-9.152794541205478774e-04	-2.448941119805786220e-04
5.150903667310046709e-04	1.374929141880807770e-04	-9.594134242584897738e-04	-2.642228580363306179e-04
5.484295490436907373e-04	9.625825592917284569e-05	-9.362189290009407909e-04	-2.616456918975895891e-04
5.817687313563794059e-04	1.210634800351105143e-04	-9.214002237050759013e-04	-2.548806307767641807e-04
6.151079136690657976e-04	1.213856258042372383e-04	-9.107694133873294341e-04	-2.645450038039584323e-04
6.484470959817520809e-04	1.075333577945667898e-04	-9.110915591533341436e-04	-2.767865429723632541e-04
6.817862782944378221e-04	1.117212527754153010e-04	-9.555476750517383081e-04	-2.745315226001436115e-04
7.151254606071238886e-04	1.052783374223493292e-04	-9.497490512421014400e-04	-2.648671495721056880e-04
7.484646429198103888e-04	1.107548154720776448e-04	-9.036822064954649859e-04	-2.445719662147736767e-04
