# Time (s)	Generation (V)	PC (V)	PL (V)
1.500263204070890169e-05	1.133319816127714165e-04	2.646686373333545159e-03	-2.610014003615538768e-04
4.834181435339528833e-05	9.722469323179468452e-05	-4.056448359322900577e-04	-2.642228580386072798e-04
8.168099666608183592e-05	1.036676085862340017e-04	-8.440852386489192637e-04	-2.680886072460358840e-04
1.150201789787680921e-04	1.104326697050374680e-04	-9.046486437649281682e-04	-2.503705900309573370e-04
1.483593612914544161e-04	1.062447747264026537e-04	-9.262324102263434864e-04	-2.542363392430715919e-04
1.816985436041414854e-04	8.659388289885493987e-05	-9.236552440848791587e-04	-2.574577969167413626e-04
2.150377259168277959e-04	9.786898476359508301e-05	-9.449168647398263664e-04	-2.597128172916961762e-04
2.483769082295139165e-04	1.139762731478302085e-04	-8.933735419375878365e-04	-2.709879191555924442e-04
2.817160905422001998e-04	9.593611016004666386e-05	-8.563267786785175263e-04	-2.558470680792549802e-04
3.150552728548863747e-04	1.110769612401615560e-04	-8.518167379223553050e-04	-2.600349630588667284e-04
3.483944551675727122e-04	1.239627919440171224e-04	-8.637361313109729851e-04	-2.445719662126247338e-04
3.817336374802589413e-04	1.007682966751079234e-04	-8.930513961567410498e-04	-2.577799426857994565e-04
4.150728197929463088e-04	1.039897543511221728e-04	-9.175344744756868363e-04	-2.700214818548575101e-04
4.484120021056323211e-04	1.088219408682700336e-04	-9.294538678781034827e-04	-2.513370273356615352e-04
4.817511844183182249e-04	9.819113053532524740e-05	-8.956285622875316240e-04	-2.519813188685727937e-04
5.150903667310046709e-04	9.432538132047549621e-05	-9.069036641575476711e-04	-2.542363392430058351e-04
5.484295490436907373e-04	1.142984189153929708e-04	-9.549033835055556561e-04	-2.574577969184983122e-04
5.817687313563794059e-04	1.059226289566890918e-04	-9.590912784909872389e-04	-2.461826950532994295e-04
6.151079136690657976e-04	1.065669204917497540e-04	-9.513597800724064467e-04	-2.616456918965487008e-04
6.484470959817520809e-04	1.010904424433240259e-04	-9.520040716070916767e-04	-2.603571088265587818e-04
6.817862782944378221e-04	1.133319816155093794e-04	-9.178566202545934433e-04	-2.651892953391475996e-04
7.151254606071238886e-04	1.030233170485670259e-04	-9.545812377447384202e-04	-2.635785665025714049e-04
7.484646429198103888e-04	1.120433985433054788e-04	-9.616684446183056557e-04	-2.600349630586728730e-04
